,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,3/1/2016,0.14,51.68,20.46,51.68,26.94,1.04,0.37,10.0,1456815600.0
Row,3/10/2016,0.16,61.67,22.09,61.67,28.39,2.8,0.43,10.0,1457593200.0
Row,3/11/2016,0.14,68.44,32.56,68.44,36.65,3.64,0.34,10.0,1457679600.0
Row,3/12/2016,0.14,61.08,37.13,61.08,37.13,5.76,0.41,9.94,1457766000.0
Row,3/13/2016,0.17,58.88,35.97,58.88,41.0,5.1,0.3,10.0,1457852400.0
Row,3/14/2016,0.16,60.39,35.56,60.39,39.28,10.54,0.36,9.99,1457935200.0
Row,3/15/2016,0.19,34.63,21.79,43.15,31.48,12.15,0.34,10.0,1458021600.0
Row,3/16/2016,0.19,35.98,19.34,44.01,27.64,8.82,0.4,9.95,1458108000.0
Row,3/17/2016,0.27,26.18,19.91,32.93,27.3,3.49,0.74,6.74,1458194400.0
Row,3/18/2016,0.31,20.56,8.46,26.78,19.26,3.74,0.81,5.32,1458280800.0
Row,3/19/2016,0.18,25.99,9.75,31.89,18.84,4.02,0.63,9.05,1458367200.0
Row,3/2/2016,0.13,54.96,32.9,54.96,40.41,14.26,0.3,10.0,1456902000.0
Row,3/20/2016,0.06,53.1,10.73,53.1,18.25,4.59,0.47,9.99,1458453600.0
Row,3/21/2016,0.06,67.83,29.87,67.83,35.59,5.37,0.32,9.93,1458540000.0
Row,3/22/2016,0.08,65.44,36.0,65.44,41.61,7.5,0.28,9.95,1458626400.0
Row,3/23/2016,0.39,35.07,13.05,43.07,22.04,16.61,0.91,4.09,1458712800.0
Row,3/24/2016,0.16,38.35,10.56,42.14,18.4,5.07,0.7,8.63,1458799200.0
Row,3/25/2016,0.18,37.7,25.9,42.34,30.38,1.5,0.63,9.29,1458885600.0
Row,3/26/2016,0.29,25.94,13.96,31.22,23.26,1.84,0.79,8.32,1458972000.0
Row,3/27/2016,0.13,44.35,12.25,48.43,20.3,6.69,0.52,10.0,1459058400.0
Row,3/28/2016,0.13,57.87,26.86,57.87,31.51,4.82,0.46,9.98,1459144800.0
Row,3/29/2016,0.17,54.31,32.57,54.31,37.48,3.98,0.64,9.95,1459231200.0
Row,3/3/2016,0.07,58.26,24.1,58.26,27.94,2.4,0.41,10.0,1456988400.0
Row,3/30/2016,0.25,39.35,20.45,44.43,29.78,7.37,0.79,8.65,1459317600.0
Row,3/31/2016,0.25,31.12,19.87,38.97,26.95,1.95,0.73,9.16,1459404000.0
Row,3/4/2016,0.12,55.59,30.42,55.59,36.65,0.71,0.37,10.0,1457074800.0
Row,3/5/2016,0.09,60.28,27.52,60.28,34.05,7.65,0.46,10.0,1457161200.0
Row,3/6/2016,0.18,61.9,33.1,61.9,37.28,5.47,0.35,10.0,1457247600.0
Row,3/7/2016,0.19,45.17,29.92,49.19,32.82,2.47,0.62,9.77,1457334000.0
Row,3/8/2016,0.23,45.16,26.68,45.16,27.15,1.22,0.62,10.0,1457420400.0
Row,3/9/2016,0.17,51.48,20.55,51.48,25.33,2.51,0.5,10.0,1457506800.0
